id,para_a,para_b,para_c,para_d,para_e,sentence,sentence2,sentence3,illustrator
17,99,28,76,90,65,The Star(Upright),星(正位置),正位置が出たのなら貴方には未来は希望・期待・明るい将来が待っていることでしょう。今がどんな状況であれ、良くなるでしょう。ここでの星は将来への希望の星を意味します。好機の到来や明るい兆しが訪れるでしょう。星って良いですよね、美しく輝いているので。私にもそんな時代があったのかな。はぁ…。,ごぼぬん
18,1,99,84,14,67,The Moon(Upright),月(正位置),最近悲観的になっていませんか…？考え過ぎると疲れちゃうと思います(∩´﹏`∩)1度落ち着いてみてはどうでしょうか！難しく考えないのが良いらしいです！ふぁいとです！！,かずみ
19,89,51,88,74,80,The Sun(Upright),太陽(正位置),太陽のカード(正位置),まつり
20,90,90,90,90,90,Judgement(Upright),審判(正位置),"悪魔？天使？いいえ審判です。このカード、審判の正位置の意味は復活、再生、覚醒、発展などなど。将来への明るい可能性が確立されたことを意味します。ひょっとしたら貴方の隠れた異能力が覚醒しちゃうかも？

ところで真意の読めない笑顔をした少年っていいですよね！言いたかっただけです。",Rim
21,90,90,90,90,90,The World(Upright),世界(正位置),"正位置の21番 THE WORLD 世界 を引いた今日のあなたは完全無敵！もう世界の全てはあなたのもの！ このカードは、物事の完全なる調和、進化と退化の調和した完成形、そして物事ははじまりに還るということを表しています。 優勝！！！おめでとう！！！",サ^n
100,90,90,90,90,90,The Fool(Reversed),愚者(逆位置),愚者のカード(逆位置),ロジ
101,73,100,10,56,77,The Magician(Reversed),魔術師(逆位置),奇術師や魔術師を表しているカードで、元の絵札に忠実になるように描きました。ペテン師を表している説もあり、そっちで描いた方が楽しかったかもしれません(笑)逆位置で未熟・イカサマを示すそうです。,やまろ
102,84,90,87,77,64,The High Priestess(Reversed),女教皇(逆位置),逆位置の女教皇は思考力・直感が裏目に出てしまうことを意味します。考えすぎたり、神経質になったり、冷静さを失ったり……物事をハッキリさせることに執着してしまうことも、アリ……自分と向き合い、感情のコントロールができたらハッピーになれそうです！,サカモト
103,55,30,50,100,16,The Empress(Reversed),女帝(逆位置),このカードは｢傲慢｣｢停滞｣を表しています。つまりあなたの今日の運勢は｢つい感情的になり、失敗や失態を犯してしまうかも｣です。落ち着いて行動するのが吉。自己中心的な女帝のような態度はいけません。国民に愛されてこその女帝です。謙虚にいきましょ、謙虚に。,aozam
104,66,40,50,0,15,The Emperor(Reversed),皇帝(逆位置),"逆位置の4番 THE EMPEROR 皇帝 を引いた今日のあなたの気分は皇帝！でも調子に乗りすぎないようにしましょう！ このカードは権力の濫用、コントロールの欠如、頑固さなどを表しています。 欲に流されずしっかりと周りの民衆の声を聞き柔軟な皇帝になるようにしてください。",サ^n
105,70,55,58,44,50,The Hierophant(Reversed),教皇(逆位置),このカード、教皇の逆位置は誤解、不安、ストレスなどを意味します。状況を悲観的に捉えすぎて不安を感じる悪循環に陥ってしまうかも…。そんなときは思い込みを捨ててみるのも一つの手です。人に相談するのも良しです。ちょっと冷たそうな顔してますがこの教皇も相談に乗ってくれますよ！,Rim
106,55,58,67,55,50,The Lovers(Reversed),恋人(逆位置),重要な選択を迫られるシーンで、不安や弱さから判断を誤ってしまうかも…！(∩´﹏`∩)信念と覚悟をもつと良いみたいです！余裕をもって落ち着きましょう！ふぁいとです！(イラストはプリクライメージです。JKとDKです。青春…！),かずみ
107,76,67,84,66,58,The Chariot(Reversed),戦車(逆位置),中世の鎧と少年が好きなので古代ローマの征服者を表す元の絵札と違うテイストに仕上がりました。元絵は下半身が埋まっていて、そこにも意味があるそうです。逆位置で敗北・挫折を示すそうです。分かりやすいですね！,やまろ
108,84,84,90,70,67,Strength(Reversed),力(逆位置),力のカード(逆位置),藤汐
109,34,90,35,55,44,The Hermit(Reversed),隠者(逆位置),"知識を与えよう。ありとあらゆる本の頁を貸してあげよう。
しかし気をつけること。知識は知恵と同一ではない。知恵無き知識は虚となりうる。
今一度自らを鑑みて欲しい。氾濫する知識に雁字搦めにされていないかい。
時に人の言葉は打開をもたらす。本当にやるべきことのために、頼るべきものに頼るんだ。
",ここなつ
110,28,35,71,76,55,Wheel of Fortune(Reversed),運命の輪(逆位置),"運命は回る。望もうと望まざると。善くも悪くも。
それは当然。けれどあなたは知るためにここに来た。
ならば警戒すること。目前に現れる全てに注意を払うこと。危険をもたらすあらゆるものを見出し、記憶すること。
ご武運を。あなたの車がやがて美しい道を走るとき、躓かぬよう助けになりますように。",ここなつ
111,80,71,84,84,66,Justice(Reversed),正義(逆位置),正義って　いいよね。正しく　いきてて　かっこいいよね？　ごまかしちゃだめだ。　まちがえちゃだめだ。まちがえちゃったら　きっと　おこられる。嫌われる。でもまちがわなければ、善い　はず。なのに。おかしいな。この剣で傷つけるつもりなんてないのに。「正義」が　つたわりますように。,ろろ
112,75,84,44,40,70,The Hanged Man(Reversed),吊された男(逆位置),"逆位置の12番 THE HANGED MAN 吊るされた男 を引いた今日のあなたは、たくさんの無駄な時間を過ごしてしまうかもしれません…無駄なんだ…無駄無駄…。 このカードは徒労、不満、無関心、停滞などを表しています。 栄光を手に入れるためには忍耐が大事です！頑張って耐え凌いでください！",サ^n
113,73,85,55,55,55,Death(Reversed),死神(逆位置),新しい始まりと運命の人との巡り合いが，あなたをの未来を幸福へと誘うでしょう。,エディ
114,57,93,66,58,76,Temperance(Reversed),節制(逆位置),"赤翼の天使が統べる水の移動は「調和」と「自制」の精神の象徴。古代ギリシア時代のσωφροσύνη（ソープロシュネー）、プラトンの記したΧαρμίδης（カルミデス）、枢要徳、そして七元徳。常に人間は「節制」と対峙してきた。 一度立ち止まって流れを見極めろ。心の安定と管理が混沌を脱する鍵になる。",fuchi
115,83,40,70,67,84,The Devil(Reversed),悪魔(逆位置),「悪魔のささやき」などのような言葉にも使用されている悪魔の逆位置。そんな悪魔のささやきによる誘惑や、悪い縁などを断ち切る強い意志を持っているでしょう。または現在そのようなものに困っていたとてしても自らを省みることでそれらもじきに解決へと一歩一歩進んでいくことができるでしょう。,ゆーが
116,20,36,55,84,95,The Tower(Reversed),塔(逆位置),逆位置が出た貴方は困難が崩壊し、新しい道が開かれること・0からの再スタート・ピークを越えてすべてを失ったことに対する後悔を意味します。個人的にこれの正位置よりは良いと思います。まぁ、虚無はとても辛いことです。私は慣れましたけど。まぁ、お互い頑張って生きましょう…,ごぼぬん
117,99,28,76,90,65,The Star(Reversed),星(逆位置),逆位置が出た貴方は将来が不安なのでは無いでしょうか。本来の状況は良いのにも関わらず、そういった不安や恐れ・目の前の状況に振り回されてしまっています。星は将来の希望を意味します。きっと貴方を良い方向に導きます。私はもう駄目なので代わりに頑張ってください。きっと良いことがありますので…,ごぼぬん
118,1,99,84,14,67,The Moon(Reversed),月(逆位置),気持ちが前向きに変わっていくっぽいです！素敵！！！！！目的地を明確にして、複雑に考えず突き進みましょう！！！！！！！ふぁいとです！！！！！（ちなみにこちらのイラストの制作時間は1時間以内となっております。人間やれば出来るのです。),かずみ
119,89,51,88,74,80,The Sun(Reversed),太陽(逆位置),太陽のカード(逆位置),まつり
120,55,58,67,55,50,Judgement(Reversed),審判(逆位置),悪魔？天使？いいえ審判です。残念、審判の逆位置は望みが絶たれ否定的な結末になってしまうことや望まない方向に判断がくだされてしまうことを意味します。でも大丈夫！このイラストの少年は気まぐれなのでお菓子とかあげたら貴方に良い審判を下してくれるかもしれませんよ！,Rim
121,76,67,84,66,58,The World(Reversed),世界(逆位置),"逆位置の21番 THE WORLD 世界 を引いた今日のあなたは、今の方法で前に進もうとしてもなかなかうまくいかないかもしれません。 このカードは未完成、停滞、失望などを表しています。 新しく別の方法でこれから進むべき道を切り拓いてみるのもいいかもしれません！",サ^n
200,84,84,90,70,67,The Fool(Upright),愚者(正位置),太陽に背き、ほとんど身一つで冒険に繰り出すあなたに待っているのは、本当の自由か、それとも非情な現実でしょうか？ 好奇心は可能性を手繰り寄せるエネルギーです。その無邪気な瞳の輝きを絶やさず一歩踏み出せば、明るい道が開けるでしょう。ところで単眼って良くないか？,オダマキ
202,34,90,35,55,44,The High Priestess(Upright),女教皇(正位置),女教皇のカード(正位置),まつり
203,55,58,67,55,50,The Empress(Upright),女帝(正位置),このカードは、「愛」と「繁栄」を表します。女帝といえば、リーダーシップのある気の強いお姉さんのイメージが強いですよね。見下されてる感を頑張って出しました～！見下されてください～。露出度を高めるといいことがあるかも～。ラッキーカラーは紫！（適当）。あなたの旅に幸あらんことを～。,てぃらみ
213,84,84,90,70,67,Death(Upright),死神(正位置),"どんなことにも終わりは必ずくるし諦めましょう。ところで身長低い娘はやっぱニーソよ
りタイツなんだよな～！肌が透けて若干見える厚さのやつよりばっちり厚めのタイツのほ
うがこうね、いいよね、かわいいね、うん。今日のラッキーアイテムは黒タイツ！身に着
けるといいことが起こるかも？
",れしぃ
220,34,90,35,55,44,Judgement(Upright),審判(正位置),審判のカード(正位置),okanon
300,28,35,71,76,55,The Fool(Reversed),愚者(逆位置),自由とは可能性であり希望ですが、常に責任とリスクが伴います。身勝手な振る舞いや向こう見ずな考えはは慎むことが安定につながります。しかしそれでは満足できない？ ならば腹をくくる他ありません。あ、私こういうウルフカットっていう髪型すごく好きだ……もっと流行れ。,オダマキ
302,80,71,84,84,66,The High Priestess(Reversed),女教皇(逆位置),女教皇のカード(逆位置),まつり
303,75,84,44,40,70,The Empress(Reversed),女帝(逆位置),このカードは、「強欲」と「浪費」を表します。今日は紫のものを身に着けてはいけないかも～！（適当）。一見美しい薔薇の棘に気を付けて～。上司や先輩の言うことには素直に従おう。れっつ従順！！長い物には巻かれよ～（巻物を描いたつもり）。あなたの旅に幸あらんことを～。,てぃらみ
313,57,93,66,58,76,Death(Reversed),死神(逆位置),"現状つらいこととか悩みとかありますか？次こそはきっといいことあるはずだから頑張って！死神があなたの悩みとか不幸を断ちきって良い方向に変えてくれるかも......？
 (でも死神の悩みは誰が気づいてあげて誰が解決してくれるんでしょうかね？)
",れしぃ
320,83,40,70,67,84,Judgement(Reversed),審判(逆位置),審判のカード(逆位置),okanon
